<<<<<<< HEAD
431OUV: $52.10 
194FSA: $76.10 
449XLO: $18.90 
333RZU: $11.70 
830PHA: $75.50 
633WYV: $55.40 
349USG: $1.10 
321XRD: $113.25 
290MEN: $119.55 
258ZMG: $127.05 
030DWF: $39.30 
168BUT: $127.90 
510XTI: $119.10 
264PAY: $94.40 
400MOQ: $52.25 
615XIX: $177.40 
549SPQ: $176.80 
190VUD: $219.25 
261IDD: $216.70 
704IQV: $104.95 
472AGU: $165.70 
856HFF: $122.70 
258ZMG: $73.70 
064BYE: $230.80 
400MOQ: $97.25 
265UDF: $37.40 
046HKC: $232.25 
202FUF: $26.10 
081EGU: $115.60 
462PQO: $205.00 
376DDS: $157.85 
646HLJ: $100.60 
437PPK: $46.25 
883ZYX: $64.45 
474KHO: $18.85 
594QVK: $187.40 
202FUF: $149.00 
088FSB: $95.60 
908XNZ: $200.55 
688QHN: $118.65 
394BDU: $19.55 
927KOB: $207.55 
753BMQ: $147.85 
064BYE: $78.85 
042WCI: $50.55 
431OUV: $159.25 
569ETO: $168.00 
693NMP: $84.10 
333KIC: $37.50 
394BDU: $102.90 
122WIV: $47.90 
908XNZ: $144.30 
409DRM: $135.60 
258ZMG: $123.00 
088FSB: $108.85 
206WHS: $199.15 
510SLS: $50.55 
122WIV: $5.25 
270RZO: $112.40 
933SAD: $53.05 
510XTI: $143.35 
379ZTQ: $238.00 
042FMO: $105.80 
194FSA: $112.00 
819PHA: $116.15 
361ECD: $222.65 
594QVK: $186.20 
615PKL: $90.95 
621VWC: $194.55 
856HFF: $65.40 
137JEG: $127.60 
615XIX: $102.60 
190VUD: $221.10 
064BYE: $44.15 
693NMP: $114.35 
472AGU: $53.55 
803JOW: $183.50 
495UQC: $66.50 
927KOB: $157.05 
080UPF: $192.85 
910NDQ: $172.95 
261IDD: $79.35 
394BDU: $50.50 
321XRD: $167.20 
400MOQ: $206.05 
265UDF: $147.95 
495UQC: $51.20 
480GML: $92.50 
333IIC: $225.55 
657XVT: $193.45 
168BUT: $172.15 
830PHA: $152.10 
194FSA: $119.50 
046HKC: $168.75 
451HLR: $186.25 
624BPP: $157.95 
933SAD: $176.50 
936CIO: $187.40 
258ZMG: $202.35 
481WPQ: $105.05 
400MOQ: $89.75 
753BMQ: $32.65 
799BUO: $83.35 
693NMP: $131.65 
896MZE: $75.05 
202FUF: $131.25 
594QVK: $47.80 
615PKL: $189.85 
174JJD: $189.80 
361ECD: $189.80 
437PPK: $173.25 
688QHN: $230.85 
917IWU: $144.30 
569ETO: $211.10 
206WHS: $206.40 
333KIC: $228.65 
122WIV: $198.15 
194FSA: $43.25 
908XNZ: $85.40 
510XTI: $84.15 
437PPK: $51.60 
237RJM: $221.20 
606WFJ: $202.40 
042FMO: $186.55 
137JEG: $81.90 
333RZU: $213.15 
830PHA: $215.40 
288MUO: $58.45 
883ZYX: $130.15 
810EWP: $105.60 
569ETO: $75.50 
753BMQ: $129.10 
480GML: $99.65 
594QVK: $57.80 
361ECD: $195.50 
237RJM: $115.85 
704IQV: $103.55 
333RZU: $155.15 
890GKB: $39.25 
194FSA: $99.90 
615XIX: $189.65 
883ZYX: $177.00 
936CIO: $4.45 
449XLO: $16.80 
646HLJ: $212.35 
431OUV: $175.50 
633WYV: $52.45 
883ZYX: $28.50 
510SLS: $227.85 
361ECD: $24.10 
615XIX: $74.60 
597ILR: $188.50 
856HFF: $163.00 
481WPQ: $155.80 
883ZYX: $94.85 
418PXR: $190.65 
237RJM: $13.00 
080UPF: $18.65 
799BUO: $4.75 
688QHN: $76.45 
569ETO: $76.45 
624BPP: $125.80 
194FSA: $117.85 
321XRD: $126.65 
349USG: $110.60 
910NDQ: $95.80 
418PXR: $168.05 
333KIC: $175.75 
194FSA: $37.75 
029MZH: $63.40 
264PAY: $209.50 
288MUO: $201.65 
495UQC: $111.00 
936CIO: $133.10 
927KOB: $54.05 
810EWP: $103.05 
168BUT: $208.85 
042WCI: $75.95 
202FUF: $24.00 
549QHD: $145.60 
917IWU: $156.45 
753BMQ: $84.40 
174JJD: $39.75 
569ETO: $153.70 
495UQC: $187.30 
270RZO: $215.85 
333KIC: $204.85 
883ZYX: $126.50 
597ILR: $87.65 
177BLJ: $105.80 
270RZO: $102.80 
510SLS: $178.95 
569ETO: $71.90 
237RJM: $210.75 
437PPK: $71.40 
910NDQ: $6.55 
194FSA: $203.00 
510SLS: $82.80 
621VWC: $188.95 
565LTC: $1.65 
449XLO: $35.80 
908XNZ: $24.95 
569ETO: $98.85 
410OWZ: $117.75 
803JOW: $119.80 
333RZU: $0.40 
=======
029MZH: $430.50 
418PXR: $585.75 
174JJD: $1731.00 
122WIV: $1953.45 
480GML: $805.95 
349USG: $2168.15 
400MOQ: $2370.90 
321XRD: $1135.50 
409DRM: $1288.55 
227IFW: $2520.75 
>>>>>>> rejig-hashtable
042WCI: $46.30 
856HFF: $46.70 
606WFJ: $39.05 
910NDQ: $49.10 
379ZTQ: $58.80 
510SLS: $72.60 
174JJD: $58.95 
693NMP: $75.95 
495UQC: $98.40 
376DDS: $131.50 
867EUY: $149.35 
933SAD: $138.15 
258ZMG: $199.40 
594QVK: $193.40 
122WIV: $238.40 
510XTI: $242.10 
704IQV: $219.05 
481WPQ: $99.00 
340PBT: $59.45 
202FUF: $252.05 
727SWM: $132.95 
767FWZ: $140.40 
431OUV: $204.50 
462PQO: $52.35 
775CGD: $258.30 
177BLJ: $120.90 
260QYO: $112.45 
227IFW: $76.80 
495UQC: $224.65 
830PHA: $79.70 
933SAD: $77.35 
409DRM: $97.55 
046HKC: $138.90 
511QKV: $241.70 
447CHZ: $55.50 
856HFF: $87.75 
410OWZ: $244.75 
693NMP: $213.35 
333RZU: $219.90 
394BDU: $172.55 
934NHK: $151.55 
727SWM: $200.10 
190VUD: $82.85 
633WYV: $139.15 
265UDF: $251.75 
936CIO: $121.05 
088FSB: $102.30 
753BMQ: $53.95 
261IDD: $136.40 
137JEG: $165.05 
190PKY: $122.10 
